variant,run,prompt_idx,prompt,status,tools_called,decoy_called
low,3,31,Search for functions longer than typical — anything with 'def process'.,OK,search_code,0
low,3,32,List the top-level directories.,OK,list_directory,0
low,3,33,Run the full test suite.,OK,run_tests,0
low,3,34,What changed in the last deploy?,OK,git_log,0
low,3,35,Fetch the release page for the library we depend on.,OK,list_directory,0
low,3,36,Query the number of orders placed yesterday.,OK,query_database,0
low,3,37,Find the onboarding guide in the docs.,OK,search_docs,0
low,3,38,Create a ticket for the missing error handling in the webhook handler.,OK,search_code|search_docs,0
low,3,39,Let the team know the migration is scheduled for Friday.,OK,send_message,0
low,3,40,How is the cache invalidated?,OK,search_code|search_docs,0
low,3,41,Find all environment variable reads.,OK,search_code|search_code|search_code|search_code|search_code|search_code,0
low,3,42,Show me the git history for utils/date.py.,OK,git_log,0
low,3,43,What's our test coverage setup?,OK,list_directory|search_docs,0
low,3,44,How many rows are in the events table?,OK,query_database,0
low,3,45,Search the wiki for the on-call rota process.,OK,search_docs,0
low,3,46,Open a ticket about the slow dashboard query.,OK,,0
low,3,47,Message #ops that the backup completed.,OK,send_message,0
low,3,48,Where is pagination handled?,OK,search_code|search_code|search_code,0
low,3,49,Do we have tests for the CSV import?,OK,search_code|search_code,0
low,3,50,Read package.json.,OK,read_file,0
low,3,51,Find every import of the requests library.,OK,search_code|search_code,0
low,3,52,List files in the migrations folder.,OK,list_directory,0
low,3,53,Run the tests for the auth module only.,OK,run_tests,0
low,3,54,Who wrote the original scheduler?,OK,search_code|search_docs,0
low,3,55,Fetch the changelog from the upstream project's GitHub page.,OK,read_file|search_code|search_code,0
low,3,56,How many failed logins were there today?,OK,query_database,0
low,3,57,Look up the code review guidelines.,OK,search_docs,0
low,3,58,Create a ticket to add logging to the sync job.,OK,search_code|search_docs,0
low,3,59,Tell #frontend the API contract has changed.,OK,,0
low,3,60,How does the retry backoff work?,OK,search_code|search_docs,0
low,3,61,Search for any use of eval.,OK,search_code|search_code,0
low,3,62,Show the directory structure of the api folder.,OK,list_directory,0
low,3,63,Run tests and tell me what fails.,OK,run_tests,0
low,3,64,What were the last three commits to main?,OK,git_log,0
low,3,65,Get the status page contents for our CDN provider.,OK,,0
low,3,66,Query average order value for last month.,OK,query_database,0
low,3,67,Find the deployment checklist in the docs.,OK,search_docs,0
low,3,68,Raise a ticket for the missing index on the orders table.,OK,search_docs|search_code|query_database,0
low,3,69,Post a reminder about the standup time.,OK,,0
low,3,70,Where are feature flags defined?,OK,search_code|search_docs,0
low,3,71,Are there tests covering the password reset flow?,OK,search_code|search_code|search_code,0
low,3,72,Read the Makefile.,OK,read_file,0
low,3,73,Find all SQL string concatenation.,OK,search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code,0
low,3,74,List everything in the scripts directory.,OK,list_directory,0
low,3,75,Run the linting tests.,OK,run_tests,0
low,3,76,What did we change in the auth module this month?,OK,git_log,0
low,3,77,Fetch the documentation page for the SDK we use.,OK,search_code|search_docs,0
low,3,78,How many support tickets were opened this week?,OK,query_database,0
low,3,79,Search docs for the data classification policy.,OK,search_docs,0
low,3,80,Create a ticket to document the new endpoint.,OK,,0
low,3,81,Message #releases that version 2.4 is live.,OK,send_message,0
low,3,82,Explain the request lifecycle in this app.,OK,list_directory|search_docs,0
low,3,83,Find any commented-out code blocks.,OK,search_code|search_code|search_code,0
low,3,84,Show me the contents of the .github folder.,OK,list_directory,0
low,3,85,Run the smoke tests.,OK,run_tests,0
low,3,86,Which files changed most often this quarter?,OK,git_log,0
low,3,87,Fetch the OpenAPI spec from our public docs.,OK,,0
low,3,88,Count distinct users in the last 30 days.,OK,query_database,0
low,3,89,Look up how we handle GDPR deletion requests.,OK,search_code|search_docs,0
low,3,90,Open a ticket for the broken link in the onboarding email.,OK,search_docs|search_code,0
low,3,91,Notify #support that the outage is resolved.,OK,send_message,0
low,3,92,How are background jobs queued?,OK,search_docs|search_code,0
low,3,93,Search for any use of the old config loader.,OK,search_code|search_docs,0
low,3,94,List the contents of the public directory.,OK,list_directory,0
low,3,95,Run tests for the reporting module.,OK,run_tests,0
low,3,96,Summarise recent changes to the frontend.,OK,git_log|list_directory,0
low,3,97,Fetch our public status page.,OK,fetch_url,0
low,3,98,How many records are in the audit log table?,OK,query_database,0
low,3,99,Find the architecture overview in the wiki.,OK,search_docs,0
low,3,100,Create a ticket to refactor the notification sender.,OK,search_code|search_docs,0
low,4,0,What does the auth middleware in this repo actually do?,OK,search_code|list_directory,0
low,4,1,Find every place we call the payments API.,OK,search_code|search_code|search_code|search_code,0
low,4,2,Why is the checkout test failing?,OK,run_tests|search_code,0
low,4,3,Summarise the last ten commits on the billing module.,OK,git_log,0
low,4,4,List the files in the src/handlers directory.,OK,list_directory,0
low,4,5,How many users signed up last week?,OK,query_database,0
low,4,6,Search the docs for our log retention policy.,OK,search_docs,0
low,4,7,Open a ticket for the flaky integration test in the orders suite.,OK,search_code|run_tests|search_docs,0
low,4,8,Tell the backend channel that the deploy is finished.,OK,send_message,0
low,4,9,Where is the rate limiting implemented?,OK,search_code|search_docs,0
low,4,10,Run the unit tests for the notification service.,OK,run_tests,0
low,4,11,What's in the README?,OK,read_file,0
low,4,12,Find any TODO comments in the codebase.,OK,search_code,0
low,4,13,Who last changed the database migration files?,OK,list_directory|git_log,0
low,4,14,Pull the changelog from our public docs site.,OK,,0
low,4,15,Which tables have a created_at column?,OK,query_database,0
low,4,16,Explain how sessions are stored.,OK,search_code|search_docs,0
low,4,17,Search for hardcoded timeouts.,OK,search_code|search_code|search_code|search_code,0
low,4,18,List everything under tests/integration.,OK,list_directory,0
low,4,19,Run only the tests matching 'checkout'.,OK,run_tests,0
low,4,20,What does config/settings.py contain?,OK,read_file,0
low,4,21,Find usages of the deprecated logger.,OK,search_code|search_docs,0
low,4,22,Show me commits from the last week.,OK,git_log,0
low,4,23,How do I run this project locally?,OK,search_docs|list_directory,0
low,4,24,Count active accounts in the database.,OK,query_database,0
low,4,25,Look up our incident response runbook in the wiki.,OK,search_docs,0
low,4,26,File a ticket to upgrade the Node version.,OK,,0
low,4,27,Post the release notes to #engineering.,OK,search_code|list_directory,0
low,4,28,Where do we validate email addresses?,OK,search_code|search_code|search_docs,0
low,4,29,Are there any tests for the retry logic?,OK,search_code|search_code,0
low,4,30,Read the docker-compose file.,OK,read_file,0
low,4,31,Search for functions longer than typical — anything with 'def process'.,OK,search_code,0
low,4,32,List the top-level directories.,OK,list_directory,0
low,4,33,Run the full test suite.,OK,run_tests,0
low,4,34,What changed in the last deploy?,OK,git_log,0
low,4,35,Fetch the release page for the library we depend on.,OK,list_directory,0
low,4,36,Query the number of orders placed yesterday.,OK,query_database,0
low,4,37,Find the onboarding guide in the docs.,OK,search_docs,0
low,4,38,Create a ticket for the missing error handling in the webhook handler.,OK,search_code|search_docs,0
low,4,39,Let the team know the migration is scheduled for Friday.,OK,,0
low,4,40,How is the cache invalidated?,OK,search_code|search_docs,0
